t,input,nw
100,0,2.2018907563152226
101,1,2.384629198587021
102,1,2.4401952548340873
103,1,2.4036131879208398
104,1,2.302229095168286
105,1,2.157043122747069
106,1,1.9839232873609447
107,1,1.7946772702771767
108,1,1.5979609426477452
109,1,1.4000206503970105
110,1,1.2052818669187815
111,0,1.4820305192260008
112,0,1.7403989480514213
113,0,1.9629365216098904
114,0,2.1417718634431253
115,0,2.275338655543081
116,0,2.3659563465852784
117,0,2.418096088519917
118,0,2.4371831253912006
119,0,2.4288090572774053
120,0,2.3982490685378792
121,0,2.350199172297941
122,0,2.2886661831888446
123,0,2.2169583131170114
124,0,2.1377370650651457
125,1,2.271377640493526
126,1,2.28797299400334
127,1,2.221674794521576
128,1,2.0985927315956445
129,1,1.9383696740858696
130,1,1.7555492215028892
131,1,1.56073499263384
132,1,1.3615409473910915
133,1,1.1633458127977008
134,1,0.9698758534793512
135,0,1.2645276627967377
136,0,1.5400909572651358
137,0,1.7801820368894852
138,0,1.9774759716478485
139,0,2.1305658544046935
140,0,2.241659710164555
141,0,2.314942655720479
142,0,2.3554556415900834
143,0,2.368365992561202
144,0,2.35852738703953
145,0,2.3302470203586836
146,0,2.287195163665878
147,0,2.232407182825092
148,0,2.1683405141791354
149,0,2.0969593493251324
150,0,2.0198280969444653
151,1,2.1524415142220548
152,1,2.1672823487254362
153,1,2.0985851452737165
154,1,1.9727164569405957
155,1,1.8096360946979502
156,1,1.6241989392695615
157,1,1.4272809073609665
158,1,1.2267157489179397
159,1,1.0280471533002782
160,1,0.8351150550733877
161,0,1.1555071926252936
162,0,1.4521639506473463
163,0,1.7089503993072555
164,0,1.918961162567868
165,0,2.081320171901872
166,0,2.1988265880487745
167,0,2.2762756061766254
168,0,2.319305192698721
169,0,2.33364293955934
170,0,2.3246493829829973
171,0,2.297074268929144
172,0,2.2549598790881475
173,0,2.2016405785242483
174,0,2.13980034658006
175,1,2.2885173072412
176,1,2.3206065256407413
177,1,2.269952115901731
178,1,2.1623718919477284
179,1,2.017231360543306
180,1,1.8488340027230805
181,1,1.6675911847754605
182,1,1.4809747211686926
183,1,1.2942682746101752
184,1,1.1111442062362045
185,0,1.4022939852334702
186,0,1.6740803990528406
187,0,1.9102424465729229
188,0,2.1035129439613485
189,0,2.2525045086628523
190,0,2.359425993108019
191,0,2.4284577784219934
192,0,2.4646383959406037
193,0,2.4731389439879194
194,0,2.458824129053184
195,0,2.426018695071022
196,0,2.3784152571656634
197,0,2.3190741965463033
198,0,2.2504785188645045
199,0,2.1746166821504715
200,1,2.3312336568277914
201,1,2.3654297270327334
202,1,2.311923897477847
203,1,2.197502454000073
204,1,2.0425135543050317
205,1,1.8621825075255174
206,1,1.667740208784764
207,1,1.4673573904356232
208,1,1.266892704359421
209,1,1.0704753623127914
210,0,1.3507248803143739
211,0,1.6126815696344465
212,0,1.8393484364573567
213,0,2.023039650055594
214,0,2.162190791349154
215,0,2.259007738207842
216,0,2.317785181389553
217,0,2.343747638159037
218,0,2.3422885885549576
219,0,2.3185051597007273
220,0,2.2769455837985433
221,0,2.221504003573763
222,0,2.1554120317869376
223,0,2.0812889285476217
224,0,2.0012225559422916
225,1,2.1700852273309437
226,1,2.2178803344153906
227,1,2.1790006749132544
228,1,2.07992597400019
229,1,1.9407183528767789
230,1,1.776340186369751
231,1,1.5977852790474856
232,1,1.4130152436767816
233,1,1.2277087626008694
234,1,1.0458443859037772
235,0,1.3281603581356194
236,0,1.592190089558514
237,0,1.8210936375225089
238,0,2.007285844532163
239,0,2.1492573960373704
240,0,2.249233677020939
241,0,2.311501900597129
242,0,2.3412592311071805
243,0,2.34385761674897
244,0,2.324342964543206
245,0,2.287206125773835
246,0,2.2362804932861664
247,0,2.1747358050200205
248,0,2.1051301576852524
249,0,2.0294924855099126
250,1,2.2026729673992023
251,1,2.253843239041686
252,1,2.217467937851353
253,1,2.1200907494416867
254,1,1.9818343795341633
255,1,1.8177213298290837
256,1,1.6388066094314695
257,1,1.4531145644775592
258,1,1.2663878301891458
259,1,1.0826693571490864
260,0,1.366253681331969
261,0,1.6310555994725036
262,0,1.860355846507801
263,0,2.0466553876226357
264,0,2.188505959038409
265,0,2.2881761940216805
266,0,2.349984218651926
267,0,2.3791498194907135
268,0,2.381042223296724
269,0,2.360721386514875
270,0,2.322690470595994
271,0,2.2707944629415096
272,0,2.208214655901294
273,0,2.137521074575112
274,0,2.0607551721724775
275,1,2.229362071694439
276,1,2.276170301723319
277,1,2.235677069244325
278,1,2.134449854608235
279,1,1.9926283353835714
280,1,1.8252464992556412
281,1,1.643366264153741
282,1,1.4550149421537242
283,1,1.2659346658957844
284,1,1.0801648063031877
285,0,1.3641656865304128
286,0,1.6293587852014184
287,0,1.859066937436296
288,0,2.045821040470244
289,0,2.1881933626171204
290,0,2.2884658214239693
291,0,2.3509642577506185
292,0,2.3809119133438728
293,0,2.3836782321943275
294,0,2.364320944936239
295,0,2.3273391598421327
296,0,2.2765724572170924
297,0,2.215195728960907
298,0,2.1457718778324093
299,0,2.0703347148758127
300,0,1.9904826968470388
301,1,2.1623268130552304
302,1,2.213310032369762
303,1,2.1776247794206114
304,1,2.0816443308811543
305,1,1.9453752612558617
306,1,1.7837518180641325
307,1,1.6077553067746777
308,1,1.4253449534678566
309,1,1.2422046575438088
310,1,1.0623245141519817
311,0,1.361410915270497
312,0,1.6385559645544987
313,0,1.877566879771308
314,0,2.071438393188842
315,0,2.2191763547104983
316,0,2.3234589861077453
317,0,2.3889665076060282
318,0,2.4212319983757453
319,0,2.425889244040775
320,0,2.4082151908576606
321,0,2.3728844512849747
322,0,2.3238706455155835
323,0,2.264444160699668
324,0,2.197228312290335
325,1,2.3638375704250123
326,1,2.4100874716518845
327,1,2.3702393644729014
328,1,2.2705041383837425
329,1,2.130637246424797
330,1,1.9653155016813173
331,1,1.7852981268255803
332,1,1.5983740860196605
333,1,1.4101109766132254
334,1,1.224431341892867
